ven_d,model_d,tac_d
cat,s60,35369909
cat,s60,35813707
zte,grand x quad v987,86433801
infocus,m330,35512306
alcatel,one touch idol 3 55 6045y,35809906
lenovo,vibe b a2016b31,86257003
nokia,5 dual ta10531,35853708
intex,cloud x5,91134305
infocus,m2 3g,35571606
intex,aqua i5 octa,91141565
huawei,e5776bs860,86062200
homtom,c1,35262710
huawei,enjoy 9 dubal20,86548304
samsung,galaxy note ii tdlte 4g gtn7108d,35714005
lenovo,s870e,86652201
wiko global sasu,wiko jerry max,35697508
asus,zenfone 2 laser 55 ze550kl z00ld,35964806
lg,lucid 2 vs870,99000150
nokia,lumia 1520 rm938,35920005
allview,a4 you life,35417507
huawei,nova canl03 canl13,86240203
huawei,nova canl03 canl13,86239603
huawei,y6 ii caml32,86135103
huawei,p20 emlal002,86659604
huawei,p20 emlal002,86398404
oppo,find 7a x9076 r6006 r6001 n5116 x9006,86482602
zte,blade a512,86107003
huawei,mediapad m1 80 s8304ld,86611802
coolpad,y1,86545202
huawei,mediapad 7 youth 2 s7721g,86440102
texet,xstart tm4172 phoenix 777,35429005
micromax,x597 joy,91144970
samsung,galaxy on5 2016 4g plus smg5528,35766308
samsung,galaxy on5 2016 4g plus smg5528,35766208
allview,p7 pro,35451008
ulefone,power 3,35506209
lg,k10 lte k420pr,35903607
motorola,moto g5s dual xt1793,35566508
yezz,andy 4e2i am4e2i047,35350007
oppo,f1w,86912502
samsung,galaxy m10 dual smm105yds,35554110
samsung,galaxy m10 dual smm105yds,35554210
yezz,andy 35 e2i am35e2i047,35321907
alcatel,pop 4s dual 5095k,35706907
zte,max xl n9560,99000882
zte,q205t,86593002
kenxinda,m7,86488901
fly,stratus 6 fs407 fortuneship ss830,86227803
samsung,galaxysmt217sphl520sphl600schi545schr530sphl720schi535schi200schr960schr970schr890smp905smn9009smg730vsphl710smt217sschi435,99000434
panasonic,eluga s,35653706
blackview,a7,35244909
lg,t370 cookie smart,35255105
doogee,bl7000,35314609
intex,aqua speed,91143790
samsung,galaxyschi705schi415schi200sphl710schr530schi930schlc11schr830schr950ekgc120sphl900,99000211
asus,zenfone 3 laser zc551kl z01bd,35154308
zte,blade a310,86103903
asus,zenfone 3s max zc521tl x00gda1,35528908
asus,zenfone 3s max zc521tl x00gda1,35529108
samsung,galaxy j7 2016 lte dual smj710fndf1,35357208
samsung,galaxy j7 2016 lte dual smj710fndf1,35357308
coolpad,f1 8297l,91145075
huawei,y7 prime 2019 dubtl20,86764704
samsung,galaxy j8 smj810y1,35920209
samsung,galaxy alpha smg8508v,35477806
karbonn,k57,91132065
asus,nexus 7 4g k0092,35229106
lg,q6 m700z,35875408
archos,50e helium,35427907
intex,aqua music,91151740
meizu,m5 meilan5 m611h,86533803
meizu,m5 meilan5 m611h,86305903
huawei,p30 elel292 elel29m,86186304
huawei,p30 elel292 elel29m,86640204
lg,x style k200ar,35893207
kgtel,k30,35288505
lenovo,ideapad b8080 b8080h b8080hv,86397402
swipe,sonic eg5,91141790
swipe,sonic eg5,91141670
lg,g vista 2 h740,35307307
samsung,galaxy grand 2 duos smg7108,35962705
samsung,galaxy grand 2 duos smg7108,35903305
gionee,m6,35608701
samsung,galaxy a6 plus 2018 dual sma605gds,35212710
samsung,galaxy a6 plus 2018 dual sma605gds,35212610
